item_details,item_location,item_price,item_title
2004,"Pasar Minggu, Jakarta Selatan",Rp 16.500.000,Yamaha mio 2004
2006,"Jakarta Selatan, Jakarta D.K.I.",Rp 375.000.000,Harley Davidson Ultra CVO 2006 FP
2022,"Pasar Minggu, Jakarta Selatan",Rp 28.000.000,Jual Nmax All New Connected 2022 Low Km Gress Tinggal Pake Gas
2017,"Pasar Minggu, Jakarta Selatan",Rp 25.000.000,JUAL CEPAT Yamaha R15 v3 Upgrade Nego
2022,"Pesanggrahan, Jakarta Selatan",Rp 1.725.000.000,Harley Davidson Freewheeler 2022
2022,"Kebayoran Baru, Jakarta Selatan",Rp 1.650.000.000,Harley Davidson Roadglide ST 2022 USA spec
2018,"Kebayoran Baru, Jakarta Selatan",Rp 1.480.000.000,Harley davidson rg cvo 2018
2023,"Kebayoran Lama, Jakarta Selatan",Rp 1.250.000.000,BMW K1600GTL NIK 2023
2020,"Cilandak, Jakarta Selatan",Rp 1.150.000.000,Harley Davidson RoadGlide Special
2022,"Kebayoran Baru, Jakarta Selatan",Rp 950.000.000,BMW R 1250 GS TROPHY K50
2019,"Kebayoran Baru, Jakarta Selatan",Rp 950.000.000,Honda Goldwing 1800 DCT 2019 Mantap
2023,"Pasar Minggu, Jakarta Selatan",Rp 940.000.000,BMW GS 1250 TRIPLE BLACK 2023
2020,"Mampang Prapatan, Jakarta Selatan",Rp 900.000.000,(STNK & BPKB) Ducati Multistrada 1260 enduro Nik 2020 Good Condition
2020,"Mampang Prapatan, Jakarta Selatan",Rp 900.000.000,"(BPKB & STNK) Ducati Multistrada 1260 enduro 2020 tt k51,k50,k52,GS"
2023,"Kebayoran Lama, Jakarta Selatan",Rp 899.000.000,Ducati Multistrada V4 S Grey
2023,"Cilandak, Jakarta Selatan",Rp 899.000.000,ducati panigale V4 2023
2023,"Cilandak, Jakarta Selatan",Rp 17.500.000,Yamaha Mio M3 125 (BARU)
2022,"Cilandak, Jakarta Selatan",Rp 5.000.000,Volta 401 Motor Listrik (Bekas)
2018,"Cilandak, Jakarta Selatan",Rp 15.000.000,Suzuki Smash 115 FI 2018 White.
2023,"Kebayoran Lama, Jakarta Selatan",Rp 379.000.000,Kawasaki ZX636 2023 R6 Z900 ZX6R
